time,pwm,ax,ay,az,gx,gy,gz,vibration,label
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
2927227,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1058,1
2927230,150,0.1068,0.0075,-0.0165,-3.73,-6.88,-7.84,0.1078,1
2927239,150,0.0285,0.0125,0.0832,-2.36,2.05,-10.66,0.1111,1
2927289,150,-0.0127,0.0710,-0.0100,-3.15,1.38,2.13,0.1126,1
2927299,150,-0.0804,0.0592,-0.0454,-2.97,4.17,6.46,0.0989,1
2927309,150,-0.0070,0.0196,0.0105,-1.34,1.89,-0.01,0.0959,1
29927309,150,-0.0070,0.0196,0.0105,-1.34,1.89,-0.01,0.0959,1
29927309,150,-0.0070,0.0196,0.0105,-1.34,1.,-3.04,0.0931,1
2927329,150,-0.0464,0.0390,-0.0576,-3.32,2.74,1.76,0.0906,1
2928338,150,-0.0464,0.0390,-0.0576,-3.32,2.74,1.76,0.0901,1
2928341,150,-0.0171,-0.0937,0.0667,0.47,1.32,0.61,0.0892,1
2928350,150,0.0712,0.0139,0.1398,0.92,-0.35,-9.37,0.0914,1
2928360,150,0.0489,-0.0262,0.0818,2.83,4.70,-3.21,0.0913,1
2928370,150,0.1477,-0.0529,0.1301,2.84,0.13,-5.06,0.1107,1
2928380,150,-0.1442,0.0937,-0.0318,0.64,6.31,2.27,0.1216,1
2928390,150,-0.1739,0.0381,-0.1672,-6.24,3.30,3.89,0.1398,1
2928400,150,-0.0068,-0.0627,-0.1022,-7.67,0.10,8.02,0.1447,1
2928410,150,-0.2330,0.1078,0.0322,2.16,11.27,5.98,0.1659,1
2928420,150,-0.1357,-0.1411,-0.0961,-3.66,5.13,7.12,0.1777,1
2928430,150,-0.1895,0.1065,-0.0545,1.13,10.98,15.04,0.1895,1
2928440,150,0.2351,-0.0128,0.1660,-1.52,-3.64,-10.15,0.2070,1
2928450,150,-0.1693,-0.0847,0.0719,3.32,5.73,-10.82,0.2109,1
2928460,150,0.2529,0.0130,0.2675,5.04,1.56,-20.75,0.2389,1
2928470,150,-0.1518,-0.0156,-0.2567,-9.31,3.47,5.86,0.2486,1
2928480,150,-0.3201,0.1438,-0.1495,-2.93,9.24,14.96,0.2708,1
2928490,150,-0.1188,-0.1165,-0.2102,-11.40,1.80,0.67,0.2730,1
2928500,150,-0.0494,-0.2601,-0.0444,-2.95,3.20,3.06,0.2834,1
2928510,150,0.0766,0.0634,-0.0611,-1.84,-9.89,-0.95,0.2738,1
2928520,150,0.0097,0.0666,-0.0950,-8.98,-3.56,7.53,0.2675,1
2928530,150,-0.2262,-0.1893,0.0156,2.55,11.38,11.87,0.2743,1
2928540,150,0.0940,0.0122,0.1346,5.37,1.21,-7.08,0.2640,1
2928550,150,-0.0043,-0.0274,0.0930,-1.66,5.92,-7.56,0.2579,1
2928560,150,-0.1696,0.1607,-0.1144,-1.38,3.18,9.21,0.2444,1
2928570,150,0.0458,0.0362,0.0827,-0.77,-2.60,-3.59,0.2277,1
2928580,150,-0.1083,-0.0141,-0.1384,-5.34,2.89,9.63,0.2010,1
2928590,150,0.0917,-0.0267,0.0663,1.60,-2.10,-1.08,0.1859,1
2928600,150,0.1008,-0.0068,0.1568,0.77,-0.14,-12.80,0.1756,1
2928610,150,-0.0230,-0.0117,-0.0278,-2.80,0.05,5.11,0.1721,1
2928620,150,0.1413,-0.0915,0.1695,5.20,1.50,-2.37,0.1843,1
2928630,150,0.0462,0.0336,-0.1290,-7.79,-1.45,15.62,0.1650,1
2928640,150,-0.1181,-0.0782,-0.0339,-7.94,4.73,15.44,0.1632,1
2928650,150,0.0604,0.1240,-0.1655,-6.08,-4.19,2.29,0.1742,1
2928660,150,0.0004,-0.0079,0.1599,3.52,3.70,-19.63,0.1616,1
2928670,150,0.0972,0.0781,0.0081,-0.01,-0.01,-0.01,0.1633,1
2928680,150,-0.2446,-0.0015,-0.2691,-10.85,1.98,11.46,0.1918,1
2928690,150,-0.0475,-0.2254,-0.0486,-1.07,3.56,-0.15,0.2024,1
2928700,150,0.1263,0.0685,0.0755,5.60,-5.60,-5.11,0.2003,1
2928710,150,0.1638,0.0395,0.1893,7.54,-3.06,-6.84,0.2154,1
2928720,150,-0.1176,-0.2358,-0.0047,-4.95,5.95,11.53,0.2183,1
2928730,150,0.2932,0.0525,0.1690,4.41,-6.97,-13.02,0.2395,1
2928740,150,-0.0845,-0.0630,-0.1627,-10.03,3.27,-0.49,0.2429,1
2928750,150,-0.2189,-0.2052,0.0288,4.47,11.21,4.89,0.2519,1
2928760,150,0.0914,0.0225,0.1206,5.18,3.27,-6.32,0.2515,1
2928770,150,0.0894,0.0077,0.1179,-2.26,-0.50,-7.82,0.2527,1
2929780,150,0.0894,0.0077,0.1179,-2.26,-0.50,-7.82,0.2299,1
2929783,150,-0.0436,0.0782,0.0101,-5.43,1.41,2.85,0.2193,1
2929791,150,-0.0436,0.0782,0.0101,-5.43,1.41,2.85,0.2151,1
2929802,150,-0.1345,0.0300,-0.0207,-1.85,4.82,6.10,0.2045,1
2929812,150,-0.0044,-0.0466,-0.0027,-5.92,0.68,-1.08,0.1873,1
2929822,150,-0.0838,-0.0217,-0.0348,-1.85,8.03,8.23,0.1556,1
2929832,150,-0.0829,0.0328,0.0032,-1.47,5.72,6.37,0.1458,1
2929842,150,0.0798,0.0499,0.0139,0.63,2.98,-1.78,0.1144,1
2929852,150,-0.0395,0.0074,0.0206,-2.09,1.43,2.83,0.1046,1
2929862,150,-0.0912,0.0628,-0.0742,-1.40,3.81,5.27,0.1026,1
2929872,150,-0.0894,0.0264,-0.0390,-1.79,5.81,5.10,0.0968,1
2929882,150,0.0377,0.0369,-0.0738,-1.06,0.02,-0.99,0.0968,1
2929892,150,-0.0022,-0.0190,-0.0662,-3.73,5.52,2.70,0.0951,1
2929902,150,-0.1167,0.0766,-0.0499,-3.27,7.82,9.61,0.0964,1
2929912,150,0.0422,0.0250,-0.0662,-5.22,2.95,2.44,0.0987,1
2929922,150,-0.0160,0.0695,-0.1052,-3.50,0.32,1.60,0.1025,1
2929932,150,0.1035,-0.0471,0.0421,0.18,-1.23,-5.96,0.1057,1
2929942,150,-0.0800,0.1168,-0.1441,-5.28,6.15,6.99,0.1198,1
2929952,150,-0.0097,-0.1220,0.0709,1.85,-0.05,-6.51,0.1270,1
2929962,150,-0.1011,0.0681,0.0529,3.33,0.27,4.79,0.1270,1
2929972,150,0.0042,0.0587,-0.0281,-3.66,-4.47,-2.24,0.1246,1
2929982,150,0.0481,0.0406,-0.0677,-1.17,-3.85,-4.50,0.1247,1
2929991,150,0.0481,0.0406,-0.0677,-1.17,-3.85,-4.50,0.1263,1
2930002,150,-0.0212,-0.0334,-0.0421,-5.89,2.98,2.95,0.1186,1
