time,pwm,ax,ay,az,gx,gy,gz,vibration,label
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
813666,0,-0.1349,0.3059,-0.0910,-9.13,1.47,24.57,0.1874,2
813676,0,0.1121,-0.0417,0.0204,-0.72,-1.82,-15.82,0.1905,2
813736,0,-0.0135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.054135,0.0930,0.0192,-10.57,-2.82,-4.83,0.2023,2
813746,0,-0.0547,-0.1103,0.0065,-5.98,3.40,-4.18,0.1940,2
813846,0,0.0841,-0.2171,0.0146,-18.46,1.39,-0.73,0.2865,2
813856,0,0.0684,-0.3128,0.0538,1.80,-0.01,-2.89,0.2949,2
813866,0,-0.0301,-0.1779,0.0670538,1.80,-0.01,-2.89,0.2949,2
813866,0,-0.0301,-0.1779,0.0678,8.68,3.82,-5.66,0.2527,2
813876,0,-0.0713,0.0948,-0.0976,-14.69,-1.59,1.97,0.2287,2
813886,0,-0.0796,0.0030,-0.0333,-1.50,2.53,-3.71,0.2225,2
813896,0,-0.0593,0.0983,-0.0591,-4.94,-0.16,-3.19,0.2260,2
813906,0,0.0491,0.0092,-0.0342,-7.47,-1.74,-1.39,0.2170,2
813916,0,-0.1589,0.0791,-0.1062,-2.77,-0.17,3.78,0.2252,2
813926,0,0.0343,-0.1065,0.0067,3.09,1.54,20.01,0.2156,2
813936,0,-0.0092,0.3163,-0.0568,-10.79,-2.48,9.74,0.2017,2
813976,0,-0.0804,-0.5556,0.0466,11.89,0.63,-3.18,0.2661,2
813986,0,-0.0495,-0.5562,0.0129,25.71,2.08,28.08,0.3182,2
813996,0,0.2893,-0.5768,-0.0248,25.09,-2.19,36.57,0.3759,2
814006,0,0.1838,0.4572,-0.0386,6.95,2.20,40.63,0.4066,2
814016,0,0.0798,-0.1042,-0.0511,4.78,1.30,-22.63,0.4038,2
814026,0,0.0239,-0.1145,0.0535,-23.47,-1.99,-2.05,0.4043,2
814036,0,-0.0004,0.3357,-0.0454,-5.62,0.68,6.09,0.4057,2
814046,0,0.4612,0.5716,-0.0484,-9.71,2.92,27.24,0.4565,2
814056,0,0.0279,0.4470,-0.0412,-29.38,3.79,5.66,0.4759,2
814066,0,0.0005,0.0644,-0.0188,-11.00,-0.41,-46.64,0.4680,2
814076,0,-0.0095,-0.2486,0.0115,-20.60,0.89,-6.74,0.4399,2
814086,0,0.1336,-0.0242,-0.0170,-3.89,-2.37,-11.69,0.4052,2
814096,0,0.0460,-0.0296,-0.0118,17.91,6.99,21.93,0.3504,2
814106,0,-0.0613,0.2058,-0.0700,1.71,5.13,21.58,0.3216,2
814116,0,0.0159,0.0611,0.0342,-6.82,0.20,-34.52,0.3194,2
814126,0,-0.0207,-0.1711,0.0029,-14.63,1.92,-15.25,0.3214,2
814136,0,0.1337,-0.4738,0.1449,6.36,5.40,-15.89,0.3438,2
814145,0,0.1337,-0.4738,0.1449,6.36,5.40,-15.89,0.3006,2
814156,0,0.0148,-0.0738,0.0897,-11.67,1.02,-14.76,0.2674,2
814166,0,-0.1434,0.0193,-0.1553,-21.94,-0.49,8.38,0.2748,2
